task_id,user_id,task_name,category,timestamp,duration_minutes,completed,duration_z,is_outlier
30,1028,Stretching,Health,2025-07-04 20:07:00,94.8,Yes,3.6412032520325215,True
46,1004,Tidy desk,Chores,2025-06-30 22:46:00,109.5,Yes,4.135203846153846,True
107,1001,Client report,Work,2025-06-16 13:13:00,756.0,Yes,37.863148648648654,True
150,1004,Bank visit,Errands,2025-05-26 10:56:00,542.4000000000001,Yes,26.43729885057472,True
178,1000,Sprint planning notes,Work,2025-01-19 13:27:00,182.4,No,7.987225868725869,True
220,1010,Car wash,Errands,2025-02-15 16:42:00,233.6,Yes,10.476716475095786,True
262,1020,Dishes,Chores,2025-03-09 21:57:00,144.6,No,5.956353846153846,True
274,1015,Meditation,Health,2025-03-07 14:34:00,96.6,Yes,3.7399105691056915,True
277,1019,Sprint planning notes,Work,2025-05-25 11:59:00,112.3,Yes,4.336071428571429,True
283,1031,Stretching,Health,2025-01-03 13:59:00,93.2,Yes,3.5534634146341477,True
298,1028,Online course module,Study,2025-02-18 17:20:00,601.0,Yes,29.42055725190839,True
316,1020,Car wash,Errands,2025-04-01 11:23:00,736.0,Yes,36.44367432950192,True
334,1022,Dishes,Chores,2025-03-11 14:32:00,544.0,Yes,26.67906923076923,True
394,1022,Sprint planning notes,Work,2025-07-21 15:08:00,101.5,No,3.7735540540540544,True
401,1007,Call family,Personal,2025-01-24 14:49:00,643.0,Yes,34.80193277310924,True
434,1033,Walk,Health,2025-03-20 11:30:00,515.0,Yes,26.683878048780496,True
446,1048,Team sync prep,Work,2025-06-18 12:44:00,130.4,No,5.2788088803088815,True
470,1018,Essay draft,Study,2025-07-11 22:09:00,800.8000000000001,Yes,39.70796946564885,True
480,1014,Meditation,Health,2025-02-25 06:14:00,108.8,Yes,4.408926829268294,True
533,1010,Car wash,Errands,2025-01-29 08:02:00,111.4,No,4.160708812260537,True
586,1023,Dishes,Chores,2025-01-20 13:45:00,876.2,Yes,43.91513846153847,True
633,1031,Code review,Work,2025-06-29 07:50:00,271.6,Yes,12.633202702702704,True
760,1020,Meditation,Health,2025-05-07 21:55:00,97.9,Yes,3.8111991869918707,True
786,1020,Team sync prep,Work,2025-05-22 11:23:00,113.4,No,4.393364864864866,True
