task_id,user_id,task_name,category,timestamp,duration_minutes,completed
1,1041,Team sync prep,Work,2025-05-05 16:56:00,3.9,Yes
2,1034,Laundry,,2025-03-29 09:39:00,28.9,Yes
3,1016,Tidy desk,Chores,2025-07-26 16:48:00,28.1,Yes
4,1009,Budget review,personal,2025-03-04 09:42:00,36.3,Yes
5,1015,Pharmacy pickup,errand,2025-02-28 22:25:00,,Yes
6,1026,Post office,Errands,2025-05-05 17:58:00,17.6,Yes
7,1034,Journaling,Personal,2025-07-20 08:50:00,4.9,Yes
8,1012,Code review,Work,2025-07-17 07:41:00,93.3,No
9,1044,Grocery shopping,Chores,2025-01-08 07:03:00,27.2,Yes
10,1015,Stretching,Health,2025-03-29 17:41:00,12.2,Yes
11,1002,Journaling,Personal,2025-01-23 19:39:00,61.6,Yes
12,1048,Team sync prep,Work,2025-05-26 06:19:00,39.4,Yes
13,1042,Laundry,Chores,2025-01-20 16:08:00,27.5,Yes
14,1015,Code review,,2025-03-29 06:47:00,18.5,Yes
15,1005,Read chapter,Study,2025-03-24 20:45:00,87.7,Yes
16,1037,Email cleanup,Work,2025-04-29 09:30:00,,Yes
17,1044,Post office,errand,2025-04-02 12:30:00,51.7,Yes
18,1044,Client report,Work,2025-01-13 20:08:00,41.4,Yes
19,1048,Read chapter,,2025-06-13 18:03:00,76.3,Yes
20,1028,Team sync prep,Work,2025-03-17 12:42:00,14.7,Yes
21,1046,Essay draft,Study,2025-03-25 07:39:00,75.6,Yes
22,1010,Essay draft,,2025-06-15 20:01:00,,Yes
23,1034,Email cleanup,,2025-05-14 09:49:00,39.4,Yes
24,1015,Practice problems,Study,2025-03-23 09:16:00,55.8,Yes
25,1001,Tidy desk, Chores,2025-03-09 16:06:00,53.5,Yes
26,1009,Grocery shopping,Chores,2025-07-13 06:45:00,6.4,Yes
27,1023,Client report,Work,2025-06-12 08:43:00,11.7,Yes
28,1038,Flashcard review,Study,2025-07-03 14:02:00,33.5,Yes
29,1033,Budget review,Personal,2025-03-28 07:33:00,28.8,No
30,1028,Stretching,Health,2025-07-04 20:07:00,94.8,Yes
31,1018,Call family,Personal,2025-03-19 12:38:00,21.8,Yes
32,1015,Sprint planning notes,Work,2025-06-20 15:04:00,43.9,Yes
33,1044,Read chapter,Study,2025-01-31 19:10:00,16.4,Yes
34,1031,Flashcard review,Study,2025-04-05 06:01:00,12.6,Yes
35,1035,Vacuuming,Chores,2025-06-18 06:29:00,67.8,No
36,1021,Grocery shopping,Chores,2025-01-24 17:41:00,,Yes
37,1045,Email cleanup,Work,2025-07-24 19:56:00,22.7,Yes
38,1048,Meal prep,Health,2025-07-04 22:25:00,46.5,Yes
39,1032,Read chapter,study,2025-05-19 22:29:00,19.2,Yes
40,1026,Grocery shopping,Chores,2025-01-24 20:50:00,,Yes
41,1009,Stretching, health,2025-05-22 14:09:00,19.6,Yes
42,1006,Read chapter,Study,2025-02-22 21:20:00,22.5,Yes
43,1043,Vacuuming,Chore,2025-06-10 14:26:00,3.6,Yes
44,1006,Post office, errands,2025-02-22 18:20:00,35.5,Yes
45,1049,Practice problems,Study,2025-02-23 12:47:00,31.0,Yes
46,1004,Tidy desk,Chores,2025-06-30 22:46:00,109.5,Yes
47,1010,Code review,work,2025-03-09 09:26:00,40.1,Yes
48,1021,Budget spreadsheet,Work,2025-06-15 22:02:00,18.6,Yes
49,1028,Essay draft,Study,2025-07-16 06:06:00,41.6,Yes
50,1041,Code review,work,2025-07-07 16:02:00,35.1,Yes
51,1021,Tidy desk, Chores,2025-04-15 10:55:00,21.5,Yes
52,1010,Team sync prep,Work,2025-06-07 21:44:00,41.4,Yes
53,1030,Online course module,Study,2025-07-02 20:02:00,30.6,Yes
54,1014,Team sync prep,Work,2025-05-14 18:13:00,5.3,No
55,1021,Practice problems,Study,2025-06-18 15:10:00,41.5,Yes
56,1015,Bank visit,errand,2025-01-01 07:36:00,10.1,Yes
57,1002,Meal prep,,2025-02-02 16:51:00,40.0,Yes
58,1031,Grocery shopping,CHORES,2025-07-04 22:50:00,39.0,Yes
59,1013,Email cleanup,Work,2025-03-04 21:14:00,18.5,Yes
60,1049,Bank visit,Errands,2025-03-21 12:20:00,7.5,Yes
61,1016,Code review,Work,2025-03-08 22:52:00,18.1,Yes
62,1004,Walk,Health,2025-07-16 15:01:00,22.6,Yes
63,1020,Email cleanup,Work,2025-02-01 21:01:00,32.7,Yes
64,1047,Email cleanup,Work,2025-04-06 22:42:00,21.8,Yes
65,1049,Budget review,Personal,2025-03-25 07:14:00,63.4,No
66,1009,Tidy desk,Chores,2025-06-28 13:38:00,29.8,Yes
67,1030,Practice problems,Study,2025-04-07 13:40:00,17.9,Yes
68,1009,Call family,Personal ,2025-03-09 06:22:00,31.3,Yes
69,1016,Call family,Personal,2025-02-14 11:55:00,25.8,No
70,1009,Call family,Personal,2025-06-28 22:16:00,33.8,Yes
71,1005,Flashcard review,Study,2025-03-23 20:47:00,13.6,Yes
72,1023,Budget spreadsheet,Work,2025-04-02 19:44:00,34.4,Yes
73,1017,Journaling,Personal,2025-07-07 19:53:00,47.3,Yes
74,1015,Meal prep,Health,2025-05-14 20:16:00,46.1,Yes
75,1018,Budget spreadsheet,Work,2025-07-18 12:50:00,10.6,Yes
76,1012,Pharmacy pickup,Errands ,2025-05-18 21:05:00,3.9,Yes
77,1014,Client report,Work,2025-01-26 09:17:00,9.9,Yes
78,1010,Bank visit,Errands ,2025-04-21 16:16:00,10.1,Yes
79,1043,Post office,errand,2025-02-04 18:15:00,23.2,Yes
80,1047,Walk,Health,2025-03-18 06:02:00,17.6,Yes
81,1036,Read for fun,Personal,2025-01-31 14:55:00,26.4,Yes
82,1027,Workout,Health,2025-04-29 22:45:00,23.5,No
83,1023,Post office,Errands,2025-05-04 18:38:00,9.6,Yes
84,1026,Laundry,Chores,2025-03-28 16:00:00,6.2,Yes
85,1024,Sprint planning notes,Work,2025-06-25 18:11:00,36.6,Yes
86,1049,Tidy desk,CHORES,2025-03-22 12:04:00,19.3,Yes
87,1033,Essay draft,Study,2025-04-16 11:05:00,27.1,Yes
88,1014,Budget spreadsheet,Work,2025-05-08 06:57:00,71.9,No
89,1031,Meditation,Health,2025-07-02 13:56:00,5.3,Yes
90,1028,Workout,Health,2025-05-13 19:49:00,43.9,Yes
91,1012,Client report,,2025-05-10 06:52:00,27.0,Yes
