task_id,user_id,task_name,category,timestamp,duration_minutes,completed,day_of_week,hour
1,1041,Team sync prep,Work,2025-05-05 16:56:00,3.9,Yes,Monday,16
2,1034,Laundry,Uncategorized,2025-03-29 09:39:00,28.9,Yes,Saturday,9
3,1016,Tidy desk,Chores,2025-07-26 16:48:00,28.1,Yes,Saturday,16
4,1009,Budget review,Personal,2025-03-04 09:42:00,36.3,Yes,Tuesday,9
5,1015,Pharmacy pickup,Errand,2025-02-28 22:25:00,25.7,Yes,Friday,22
6,1026,Post office,Errands,2025-05-05 17:58:00,17.6,Yes,Monday,17
7,1034,Journaling,Personal,2025-07-20 08:50:00,4.9,Yes,Sunday,8
8,1012,Code review,Work,2025-07-17 07:41:00,93.3,No,Thursday,7
9,1044,Grocery shopping,Chores,2025-01-08 07:03:00,27.2,Yes,Wednesday,7
10,1015,Stretching,Health,2025-03-29 17:41:00,12.2,Yes,Saturday,17
11,1002,Journaling,Personal,2025-01-23 19:39:00,61.6,Yes,Thursday,19
12,1048,Team sync prep,Work,2025-05-26 06:19:00,39.4,Yes,Monday,6
13,1042,Laundry,Chores,2025-01-20 16:08:00,27.5,Yes,Monday,16
14,1015,Code review,Uncategorized,2025-03-29 06:47:00,18.5,Yes,Saturday,6
15,1005,Read chapter,Study,2025-03-24 20:45:00,87.7,Yes,Monday,20
16,1037,Email cleanup,Work,2025-04-29 09:30:00,29.05,Yes,Tuesday,9
17,1044,Post office,Errand,2025-04-02 12:30:00,51.7,Yes,Wednesday,12
18,1044,Client report,Work,2025-01-13 20:08:00,41.4,Yes,Monday,20
19,1048,Read chapter,Uncategorized,2025-06-13 18:03:00,76.3,Yes,Friday,18
20,1028,Team sync prep,Work,2025-03-17 12:42:00,14.7,Yes,Monday,12
21,1046,Essay draft,Study,2025-03-25 07:39:00,75.6,Yes,Tuesday,7
22,1010,Essay draft,Uncategorized,2025-06-15 20:01:00,30.799999999999997,Yes,Sunday,20
23,1034,Email cleanup,Uncategorized,2025-05-14 09:49:00,39.4,Yes,Wednesday,9
24,1015,Practice problems,Study,2025-03-23 09:16:00,55.8,Yes,Sunday,9
25,1001,Tidy desk,Chores,2025-03-09 16:06:00,53.5,Yes,Sunday,16
26,1009,Grocery shopping,Chores,2025-07-13 06:45:00,6.4,Yes,Sunday,6
27,1023,Client report,Work,2025-06-12 08:43:00,11.7,Yes,Thursday,8
28,1038,Flashcard review,Study,2025-07-03 14:02:00,33.5,Yes,Thursday,14
29,1033,Budget review,Personal,2025-03-28 07:33:00,28.8,No,Friday,7
31,1018,Call family,Personal,2025-03-19 12:38:00,21.8,Yes,Wednesday,12
32,1015,Sprint planning notes,Work,2025-06-20 15:04:00,43.9,Yes,Friday,15
33,1044,Read chapter,Study,2025-01-31 19:10:00,16.4,Yes,Friday,19
34,1031,Flashcard review,Study,2025-04-05 06:01:00,12.6,Yes,Saturday,6
35,1035,Vacuuming,Chores,2025-06-18 06:29:00,67.8,No,Wednesday,6
36,1021,Grocery shopping,Chores,2025-01-24 17:41:00,29.8,Yes,Friday,17
37,1045,Email cleanup,Work,2025-07-24 19:56:00,22.7,Yes,Thursday,19
38,1048,Meal prep,Health,2025-07-04 22:25:00,46.5,Yes,Friday,22
39,1032,Read chapter,Study,2025-05-19 22:29:00,19.2,Yes,Monday,22
40,1026,Grocery shopping,Chores,2025-01-24 20:50:00,29.8,Yes,Friday,20
41,1009,Stretching,Health,2025-05-22 14:09:00,19.6,Yes,Thursday,14
42,1006,Read chapter,Study,2025-02-22 21:20:00,22.5,Yes,Saturday,21
43,1043,Vacuuming,Chore,2025-06-10 14:26:00,3.6,Yes,Tuesday,14
44,1006,Post office,Errands,2025-02-22 18:20:00,35.5,Yes,Saturday,18
45,1049,Practice problems,Study,2025-02-23 12:47:00,31.0,Yes,Sunday,12
47,1010,Code review,Work,2025-03-09 09:26:00,40.1,Yes,Sunday,9
48,1021,Budget spreadsheet,Work,2025-06-15 22:02:00,18.6,Yes,Sunday,22
49,1028,Essay draft,Study,2025-07-16 06:06:00,41.6,Yes,Wednesday,6
50,1041,Code review,Work,2025-07-07 16:02:00,35.1,Yes,Monday,16
51,1021,Tidy desk,Chores,2025-04-15 10:55:00,21.5,Yes,Tuesday,10
52,1010,Team sync prep,Work,2025-06-07 21:44:00,41.4,Yes,Saturday,21
53,1030,Online course module,Study,2025-07-02 20:02:00,30.6,Yes,Wednesday,20
54,1014,Team sync prep,Work,2025-05-14 18:13:00,5.3,No,Wednesday,18
55,1021,Practice problems,Study,2025-06-18 15:10:00,41.5,Yes,Wednesday,15
56,1015,Bank visit,Errand,2025-01-01 07:36:00,10.1,Yes,Wednesday,7
57,1002,Meal prep,Uncategorized,2025-02-02 16:51:00,40.0,Yes,Sunday,16
58,1031,Grocery shopping,Chores,2025-07-04 22:50:00,39.0,Yes,Friday,22
59,1013,Email cleanup,Work,2025-03-04 21:14:00,18.5,Yes,Tuesday,21
60,1049,Bank visit,Errands,2025-03-21 12:20:00,7.5,Yes,Friday,12
61,1016,Code review,Work,2025-03-08 22:52:00,18.1,Yes,Saturday,22
62,1004,Walk,Health,2025-07-16 15:01:00,22.6,Yes,Wednesday,15
63,1020,Email cleanup,Work,2025-02-01 21:01:00,32.7,Yes,Saturday,21
64,1047,Email cleanup,Work,2025-04-06 22:42:00,21.8,Yes,Sunday,22
65,1049,Budget review,Personal,2025-03-25 07:14:00,63.4,No,Tuesday,7
66,1009,Tidy desk,Chores,2025-06-28 13:38:00,29.8,Yes,Saturday,13
67,1030,Practice problems,Study,2025-04-07 13:40:00,17.9,Yes,Monday,13
68,1009,Call family,Personal,2025-03-09 06:22:00,31.3,Yes,Sunday,6
69,1016,Call family,Personal,2025-02-14 11:55:00,25.8,No,Friday,11
70,1009,Call family,Personal,2025-06-28 22:16:00,33.8,Yes,Saturday,22
71,1005,Flashcard review,Study,2025-03-23 20:47:00,13.6,Yes,Sunday,20
72,1023,Budget spreadsheet,Work,2025-04-02 19:44:00,34.4,Yes,Wednesday,19
73,1017,Journaling,Personal,2025-07-07 19:53:00,47.3,Yes,Monday,19
74,1015,Meal prep,Health,2025-05-14 20:16:00,46.1,Yes,Wednesday,20
75,1018,Budget spreadsheet,Work,2025-07-18 12:50:00,10.6,Yes,Friday,12
76,1012,Pharmacy pickup,Errands,2025-05-18 21:05:00,3.9,Yes,Sunday,21
77,1014,Client report,Work,2025-01-26 09:17:00,9.9,Yes,Sunday,9
78,1010,Bank visit,Errands,2025-04-21 16:16:00,10.1,Yes,Monday,16
79,1043,Post office,Errand,2025-02-04 18:15:00,23.2,Yes,Tuesday,18
80,1047,Walk,Health,2025-03-18 06:02:00,17.6,Yes,Tuesday,6
81,1036,Read for fun,Personal,2025-01-31 14:55:00,26.4,Yes,Friday,14
82,1027,Workout,Health,2025-04-29 22:45:00,23.5,No,Tuesday,22
83,1023,Post office,Errands,2025-05-04 18:38:00,9.6,Yes,Sunday,18
84,1026,Laundry,Chores,2025-03-28 16:00:00,6.2,Yes,Friday,16
85,1024,Sprint planning notes,Work,2025-06-25 18:11:00,36.6,Yes,Wednesday,18
86,1049,Tidy desk,Chores,2025-03-22 12:04:00,19.3,Yes,Saturday,12
87,1033,Essay draft,Study,2025-04-16 11:05:00,27.1,Yes,Wednesday,11
88,1014,Budget spreadsheet,Work,2025-05-08 06:57:00,71.9,No,Thursday,6
89,1031,Meditation,Health,2025-07-02 13:56:00,5.3,Yes,Wednesday,13
90,1028,Workout,Health,2025-05-13 19:49:00,43.9,Yes,Tuesday,19
91,1012,Client report,Uncategorized,2025-05-10 06:52:00,27.0,Yes,Saturday,6
92,1024,Dishes,Chores,2025-05-25 09:06:00,49.1,Yes,Sunday,9
93,1043,Tidy desk,Chores,2025-05-07 14:38:00,25.8,Yes,Wednesday,14
94,1024,Vacuuming,Chores,2025-07-10 06:33:00,27.9,Yes,Thursday,6
95,1008,Pharmacy pickup,Errands,2025-03-10 20:10:00,11.8,Yes,Monday,20
96,1025,Journaling,Uncategorized,2025-06-24 11:22:00,19.0,Yes,Tuesday,11
97,1032,Car wash,Errands,2025-06-17 13:42:00,28.7,Yes,Tuesday,13
98,1037,Sprint planning notes,Work,2025-07-22 08:26:00,63.1,Yes,Tuesday,8
99,1049,Dishes,Chores,2025-04-12 07:11:00,8.2,Yes,Saturday,7
100,1025,Email cleanup,Work,2025-03-12 16:11:00,12.6,Yes,Wednesday,16
101,1007,Email cleanup,Work,2025-05-06 14:35:00,22.6,Yes,Tuesday,14
102,1044,Laundry,Chores,2025-04-15 21:25:00,36.1,Yes,Tuesday,21
103,1023,Dishes,Chore,2025-06-06 19:12:00,34.8,Yes,Friday,19
104,1018,Pharmacy pickup,Errands,2025-06-01 08:20:00,13.6,Yes,Sunday,8
105,1024,Tidy desk,Uncategorized,2025-06-04 10:04:00,11.6,Yes,Wednesday,10
106,1025,Pharmacy pickup,Errands,2025-03-17 13:21:00,30.9,Yes,Monday,13
108,1048,Budget spreadsheet,Work,2025-02-22 12:48:00,43.2,Yes,Saturday,12
109,1035,Read chapter,Study,2025-01-28 13:47:00,57.4,Yes,Tuesday,13
110,1004,Team sync prep,Work,2025-04-14 14:57:00,36.6,Yes,Monday,14
111,1034,Team sync prep,Work,2025-03-03 12:11:00,27.1,No,Monday,12
112,1017,Pharmacy pickup,Errands,2025-01-23 10:35:00,61.1,Yes,Thursday,10
113,1037,Team sync prep,Work,2025-01-20 12:23:00,46.0,Yes,Monday,12
114,1005,Bank visit,Errands,2025-03-05 20:55:00,28.4,Yes,Wednesday,20
